source,title,date,url
WH,Menu President Donald J. Trump The White House Search News Articles Briefings & Statements Fact Sheets Presidential Actions Executive Orders Nominations & Appointments Presidential Memoranda Proclamat,2025-09-30,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Unlocking Cures for Pediatric Cancer with Artificial Intelligence Presidential Actions , Executive Orders September 30, 2025 Continuance of Certain Federal Advisory Committees Presidential Actions , E",2025-09-30,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Unlocking Cures for Pediatric Cancer with Artificial Intelligence Presidential Actions , Executive Orders September 30, 2025",2025-09-30,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Unlocking Cures for Pediatric Cancer with Artificial Intelligence Presidential Actions , Executive Orders September 30, 2025",2025-09-30,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Unlocking Cures for Pediatric Cancer with Artificial Intelligence Presidential Actions , Executive Orders September 30, 2025",2025-09-30,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 30, 2025",2025-09-30,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Continuance of Certain Federal Advisory Committees Presidential Actions , Executive Orders September 29, 2025",2025-09-29,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Continuance of Certain Federal Advisory Committees Presidential Actions , Executive Orders September 29, 2025",2025-09-29,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Continuance of Certain Federal Advisory Committees Presidential Actions , Executive Orders September 29, 2025",2025-09-29,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 29, 2025",2025-09-29,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Assuring the Security of the State of Qatar Presidential Actions , Executive Orders September 29, 2025",2025-09-29,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Assuring the Security of the State of Qatar Presidential Actions , Executive Orders September 29, 2025",2025-09-29,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Assuring the Security of the State of Qatar Presidential Actions , Executive Orders September 29, 2025",2025-09-29,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 29, 2025",2025-09-29,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Saving TikTok While Protecting National Security Presidential Actions , Executive Orders September 25, 2025",2025-09-25,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Saving TikTok While Protecting National Security Presidential Actions , Executive Orders September 25, 2025",2025-09-25,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Saving TikTok While Protecting National Security Presidential Actions , Executive Orders September 25, 2025",2025-09-25,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 25, 2025",2025-09-25,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Designating Antifa as a Domestic Terrorist Organization Presidential Actions , Executive Orders September 22, 2025",2025-09-22,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Designating Antifa as a Domestic Terrorist Organization Presidential Actions , Executive Orders September 22, 2025",2025-09-22,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Designating Antifa as a Domestic Terrorist Organization Presidential Actions , Executive Orders September 22, 2025",2025-09-22,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 22, 2025",2025-09-22,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"The Gold Card Presidential Actions , Executive Orders September 19, 2025",2025-09-19,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"The Gold Card Presidential Actions , Executive Orders September 19, 2025",2025-09-19,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"The Gold Card Presidential Actions , Executive Orders September 19, 2025",2025-09-19,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 19, 2025",2025-09-19,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Establishing An Emergency Board to Investigate Disputes Between the Long Island Rail Road Company and Certain of its Employees Represented by Certain Labor Organizations Presidential Actions , Executi",2025-09-16,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Establishing An Emergency Board to Investigate Disputes Between the Long Island Rail Road Company and Certain of its Employees Represented by Certain Labor Organizations Presidential Actions , Executi",2025-09-16,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Establishing An Emergency Board to Investigate Disputes Between the Long Island Rail Road Company and Certain of its Employees Represented by Certain Labor Organizations Presidential Actions , Executi",2025-09-16,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 16, 2025",2025-09-16,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Further Extending the TikTok Enforcement Delay Presidential Actions , Executive Orders September 16, 2025",2025-09-16,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Further Extending the TikTok Enforcement Delay Presidential Actions , Executive Orders September 16, 2025",2025-09-16,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Further Extending the TikTok Enforcement Delay Presidential Actions , Executive Orders September 16, 2025",2025-09-16,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 16, 2025",2025-09-16,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Restoring the United States Department of War Presidential Actions , Executive Orders September 5, 2025",2025-09-05,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Restoring the United States Department of War Presidential Actions , Executive Orders September 5, 2025",2025-09-05,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Restoring the United States Department of War Presidential Actions , Executive Orders September 5, 2025",2025-09-05,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Presidential Actions , Executive Orders September 5, 2025",2025-09-05,https://www.whitehouse.gov/presidential-actions/executive-orders/
WH,"Modifying The Scope of Reciprocal Tariffs and Establishing Procedures for Implementing Trade and Security Agreements Presidential Actions , Executive Orders September 5, 2025",2025-09-05,https://www.whitehouse.gov/presidential-actions/executive-orders/
